conf,session,session_dir,n_files,n_bad_files,n_utts,n_idea,n_nodes,n_moves,n_speakers_idea,n_roster,roster_match_rate,unmatched_speakers,speaking_seconds,n_links,n_unresolved_moves,basis_named_speaker,basis_on_table_idea,basis_nearest_prior,pct_named_speaker,pct_nearest_prior,pct_links_to_extracted,has_teams,num_teams,num_funded_teams,is_focal,ok_complete,ok_material,ok_group,ok_length,ok_roster,ok_grounded,eligible
2021CMC,2021_10_07_CMC_S2,outputs/2021CMC/output_2021_10_07_CMC_S2,8,0,147,51,22,33,12,13,1.0,,0,35,0,10,19,6,0.286,0.171,0.286,True,1,1,False,True,True,True,True,True,True,True
2021CMC,2021_10_07_CMC_S3,outputs/2021CMC/output_2021_10_07_CMC_S3,8,0,174,46,15,31,13,15,1.0,,0,31,0,0,13,18,0.0,0.581,0.032,True,3,2,False,True,True,True,True,True,False,False
2021CMC,2021_10_07_CMC_S4,outputs/2021CMC/output_2021_10_07_CMC_S4,7,0,173,51,14,37,11,11,1.0,,0,38,0,5,14,19,0.132,0.5,0.158,True,1,1,False,True,True,True,True,True,False,False
2021CMC,2021_10_07_CMC_S5,outputs/2021CMC/output_2021_10_07_CMC_S5,8,0,189,29,4,25,9,15,1.0,,0,24,1,1,14,9,0.042,0.375,0.042,True,1,1,False,True,False,True,True,True,False,False
2021CMC,2021_10_07_CMC_S6,outputs/2021CMC/output_2021_10_07_CMC_S6,8,0,133,40,16,26,8,12,1.0,,0,26,0,1,23,2,0.038,0.077,0.038,False,0,0,False,True,True,True,True,True,True,True
2021CMC,2021_10_07_CMC_S7,outputs/2021CMC/output_2021_10_07_CMC_S7,8,0,208,41,15,26,9,11,1.0,,0,26,0,2,15,9,0.077,0.346,0.077,False,0,0,False,True,True,True,True,True,True,True
2021CMC,2021_10_08_CMC_S1,outputs/2021CMC/output_2021_10_08_CMC_S1,8,0,204,44,10,36,10,15,1.0,,0,35,1,10,12,13,0.286,0.371,0.343,True,3,2,False,True,True,True,True,True,False,False
2021CMC,2021_10_08_CMC_S10,outputs/2021CMC/output_2021_10_08_CMC_S10,8,0,227,79,14,68,13,15,1.0,,0,76,0,12,37,27,0.158,0.355,0.158,False,0,0,False,True,True,True,True,True,False,False
2021CMC,2021_10_08_CMC_S11,outputs/2021CMC/output_2021_10_08_CMC_S11,8,0,181,51,12,43,10,13,1.0,,0,48,0,15,28,5,0.312,0.104,0.333,True,1,0,False,True,True,True,True,True,True,True
2021CMC,2021_10_08_CMC_S12,outputs/2021CMC/output_2021_10_08_CMC_S12,8,0,174,50,15,35,9,9,1.0,,0,35,0,2,14,19,0.057,0.543,0.057,True,1,0,False,True,True,True,True,True,False,False
